traj_id,episode_index,task_index,instruction
traj_082,82,4,put both the alphabet soup and the cream cheese box in the basket
traj_083,83,4,put both the alphabet soup and the cream cheese box in the basket
traj_084,84,2,put the yellow and white mug in the microwave and close it
traj_085,85,0,put the white mug on the left plate and put the yellow and white mug on the right plate
traj_086,86,6,put both moka pots on the stove
traj_087,87,3,turn on the stove and put the moka pot on it
traj_088,88,0,put the white mug on the left plate and put the yellow and white mug on the right plate
traj_089,89,8,put the black bowl in the bottom drawer of the cabinet and close it
traj_090,90,8,put the black bowl in the bottom drawer of the cabinet and close it
traj_091,91,7,put both the cream cheese box and the butter in the basket
traj_092,92,5,put both the alphabet soup and the tomato sauce in the basket
traj_093,93,3,turn on the stove and put the moka pot on it
traj_094,94,7,put both the cream cheese box and the butter in the basket
traj_095,95,3,turn on the stove and put the moka pot on it
traj_096,96,4,put both the alphabet soup and the cream cheese box in the basket
traj_097,97,8,put the black bowl in the bottom drawer of the cabinet and close it
traj_098,98,4,put both the alphabet soup and the cream cheese box in the basket
traj_099,99,2,put the yellow and white mug in the microwave and close it
